Dtime,Velocity,Depth
2008-01-19 00:00:00,-0.1,-130.50000000000333
2008-01-19 00:00:05,0.4,-132.50000000000333
2008-01-19 00:00:10,-0.2,-131.50000000000333
2008-01-19 00:00:15,0.0,-131.50000000000333
2008-01-19 00:00:20,0.1,-132.00000000000333
2008-01-19 00:00:25,-0.1,-131.50000000000333
2008-01-19 00:00:30,0.0,-131.50000000000333
2008-01-19 00:00:35,0.0,-131.50000000000333
2008-01-19 00:00:40,-0.1,-131.00000000000333
2008-01-19 00:00:45,-0.1,-130.5000000000033
2008-01-19 00:00:50,0.2,-131.5000000000033
2008-01-19 00:00:55,0.0,-131.5000000000033
2008-01-19 00:01:00,0.0,-131.5000000000033
2008-01-19 00:01:05,0.1,-132.00000000000333
2008-01-19 00:01:10,-0.1,-131.5000000000033
2008-01-19 00:01:15,0.0,-131.5000000000033
2008-01-19 00:01:20,0.1,-132.00000000000333
2008-01-19 00:01:25,-0.2,-131.00000000000333
2008-01-19 00:01:30,-0.1,-130.5000000000033
2008-01-19 00:01:35,0.1,-131.00000000000333
2008-01-19 00:01:40,0.1,-131.50000000000333
2008-01-19 00:01:45,-0.1,-131.00000000000333
2008-01-19 00:01:50,0.0,-131.00000000000333
2008-01-19 00:01:55,0.0,-131.00000000000333
2008-01-19 00:02:00,-0.2,-130.00000000000333
2008-01-19 00:02:05,0.2,-131.00000000000333
2008-01-19 00:02:10,-0.2,-130.00000000000333
2008-01-19 00:02:15,0.2,-131.00000000000333
2008-01-19 00:02:20,0.1,-131.50000000000333
2008-01-19 00:02:25,-0.2,-130.50000000000333
2008-01-19 00:02:30,-1.5,-123.00000000000333
2008-01-19 00:02:35,-1.8,-114.00000000000333
2008-01-19 00:02:40,-2.0,-104.00000000000333
2008-01-19 00:02:45,-1.9,-94.50000000000333
2008-01-19 00:02:50,-2.1,-84.00000000000333
2008-01-19 00:02:55,-1.8,-75.00000000000333
2008-01-19 00:03:00,-1.6,-67.00000000000333
2008-01-19 00:03:05,-1.4,-60.000000000003325
2008-01-19 00:03:10,-1.6,-52.000000000003325
2008-01-19 00:03:15,-2.0,-42.000000000003325
2008-01-19 00:03:20,-1.8,-33.000000000003325
2008-01-19 00:03:25,-1.8,-24.000000000003325
2008-01-19 00:03:30,-1.9,-14.500000000003325
2008-01-19 00:03:35,-1.8,-5.500000000003325
2008-01-19 00:03:40,-1.1,-3.325117958752344e-12
2008-01-19 00:03:45,0.0,-3.325117958752344e-12
2008-01-19 00:03:50,0.1,-0.5000000000033251
2008-01-19 00:03:55,-0.1,-3.325117958752344e-12
2008-01-19 00:04:00,0.0,-3.325117958752344e-12
2008-01-19 00:04:05,0.0,-3.325117958752344e-12
2008-01-19 00:04:10,0.0,-3.325117958752344e-12
2008-01-19 00:04:15,0.0,-3.325117958752344e-12
2008-01-19 00:04:20,0.1,-0.5000000000033251
2008-01-19 00:04:25,0.0,-0.5000000000033251
2008-01-19 00:04:30,0.0,-0.5000000000033251
2008-01-19 00:04:35,-0.1,-3.325117958752344e-12
2008-01-19 00:04:40,0.0,-3.325117958752344e-12
2008-01-19 00:04:45,0.0,-3.325117958752344e-12
2008-01-19 00:04:50,0.0,-3.325117958752344e-12
2008-01-19 00:04:55,0.0,-3.325117958752344e-12
2008-01-19 00:05:00,0.0,-3.325117958752344e-12
2008-01-19 00:05:05,0.0,-3.325117958752344e-12
2008-01-19 00:05:10,0.1,-0.5000000000033251
2008-01-19 00:05:15,-0.1,-3.325117958752344e-12
2008-01-19 00:05:20,0.0,-3.325117958752344e-12
2008-01-19 00:05:25,0.1,-0.5000000000033251
2008-01-19 00:05:30,-0.1,-3.325117958752344e-12
2008-01-19 00:05:35,0.0,-3.325117958752344e-12
2008-01-19 00:05:40,0.1,-0.5000000000033251
2008-01-19 00:05:45,-0.1,-3.325117958752344e-12
2008-01-19 00:05:50,0.0,-3.325117958752344e-12
2008-01-19 00:05:55,0.4,-2.0000000000033253
2008-01-19 00:06:00,1.8,-11.000000000003325
2008-01-19 00:06:05,1.7,-19.500000000003325
2008-01-19 00:06:10,1.6,-27.500000000003322
2008-01-19 00:06:15,1.7,-36.000000000003325
