Dtime,Velocity,Depth
2008-01-18 00:08:05,-0.1,-1.8475498908543386e-12
2008-01-18 00:08:10,0.0,-1.8475498908543386e-12
2008-01-18 00:08:15,0.2,-1.0000000000018476
2008-01-18 00:08:20,0.0,-1.0000000000018476
2008-01-18 00:08:25,0.0,-1.0000000000018476
2008-01-18 00:08:30,0.0,-1.0000000000018476
2008-01-18 00:08:35,-0.1,-0.5000000000018476
2008-01-18 00:08:40,-0.1,-1.8475498908543386e-12
2008-01-18 00:08:45,0.2,-1.0000000000018476
2008-01-18 00:08:50,-0.2,-1.8475498908543386e-12
2008-01-18 00:08:55,0.1,-0.5000000000018476
2008-01-18 00:09:00,-0.1,-1.8475498908543386e-12
2008-01-18 00:09:05,0.1,-0.5000000000018476
2008-01-18 00:09:10,-0.1,-1.8475498908543386e-12
2008-01-18 00:09:15,0.0,-1.8475498908543386e-12
2008-01-18 00:09:20,0.1,-0.5000000000018476
2008-01-18 00:09:25,0.0,-0.5000000000018476
2008-01-18 00:09:30,0.1,-1.0000000000018476
2008-01-18 00:09:35,0.2,-2.0000000000018474
2008-01-18 00:09:40,0.0,-2.0000000000018474
2008-01-18 00:09:45,0.0,-2.0000000000018474
2008-01-18 00:09:50,-0.3,-0.5000000000018476
2008-01-18 00:09:55,-0.1,-1.8475498908543386e-12
2008-01-18 00:10:00,0.0,-1.8475498908543386e-12
2008-01-18 00:10:05,0.1,-0.5000000000018476
2008-01-18 00:10:10,0.1,-1.0000000000018476
2008-01-18 00:10:15,0.0,-1.0000000000018476
2008-01-18 00:10:20,0.2,-2.0000000000018474
2008-01-18 00:10:25,-0.2,-1.0000000000018474
2008-01-18 00:10:30,-0.2,-1.8474111129762605e-12
2008-01-18 00:10:35,0.2,-1.0000000000018474
2008-01-18 00:10:40,-0.1,-0.5000000000018474
2008-01-18 00:10:45,0.1,-1.0000000000018474
2008-01-18 00:10:50,0.0,-1.0000000000018474
2008-01-18 00:10:55,-0.1,-0.5000000000018474
2008-01-18 00:11:00,0.0,-0.5000000000018474
2008-01-18 00:11:05,0.1,-1.0000000000018474
2008-01-18 00:11:10,0.1,-1.5000000000018476
2008-01-18 00:11:15,0.1,-2.0000000000018474
2008-01-18 00:11:20,0.2,-3.000000000001848
2008-01-18 00:11:25,-0.1,-2.500000000001848
2008-01-18 00:11:30,-0.2,-1.5000000000018479
2008-01-18 00:11:35,-0.1,-1.0000000000018479
2008-01-18 00:11:40,-0.1,-0.5000000000018479
2008-01-18 00:11:45,0.0,-0.5000000000018479
2008-01-18 00:11:50,0.0,-0.5000000000018479
2008-01-18 00:11:55,-0.1,-1.847827446610495e-12
2008-01-18 00:12:00,0.0,-1.847827446610495e-12
